0	0	1
0	304	1
0	2378	1
0	4088	1
0	4112	1
0	5037	1
0	6780	1
0	7442	1
0	7790	1
0	10202	1
0	10274	1
0	10751	1
0	11040	1
0	12615	1
0	12957	1
0	13063	1
0	13590	1
0	14026	1
0	14052	1
0	14993	1
0	15160	1
0	15397	1
0	15683	1
0	16002	1
0	17096	1
0	17510	1
0	17889	1
0	17962	1
0	18687	1
1	0	1
1	1131	1
1	7449	1
1	12686	1
1	14090	1
1	15759	1
2	0	1
2	392	1
2	413	1
2	696	1
2	871	1
2	1421	1
2	1981	1
2	2128	1
2	2462	1
2	2877	1
2	2893	1
2	3457	1
2	3458	1
2	5958	1
2	6569	1
2	7273	1
2	7498	1
2	7643	1
2	8463	1
2	9833	1
2	10186	1
2	10188	1
2	10960	1
2	11455	1
2	11691	1
2	12624	1
2	13122	1
2	13401	1
2	13446	1
2	15025	1
2	15282	1
2	15462	1
2	16518	1
2	16754	1
2	17500	1
2	18470	1
2	18756	1
3	0	1
3	63	1
3	96	1
3	1468	1
3	1491	1
3	1735	1
3	2435	1
3	3065	1
3	3470	1
3	3548	1
3	3573	1
3	4111	1
3	4516	1
3	4924	1
3	5037	1
3	5046	1
3	5289	1
3	5654	1
3	5994	1
3	6022	1
3	6485	1
3	6503	1
3	6879	1
3	6887	1
3	6954	1
3	7175	1
3	7422	1
3	7442	1
3	7647	1
3	7926	1
3	8096	1
3	8597	1
3	8838	1
3	8984	1
3	9164	1
3	10186	1
3	10202	1
3	10296	1
3	10331	1
3	10333	1
3	10380	1
3	11053	1
3	11159	1
3	11248	1
3	11271	1
3	11416	1
3	11787	1
3	12006	1
3	12247	1
3	12332	1
3	12430	1
3	12491	1
3	12562	1
3	12577	1
3	12582	1
3	12727	1
3	12736	1
3	12832	1
3	13088	1
3	13984	1
3	13990	1
3	13991	1
3	14897	1
3	14950	1
3	15023	1
3	15025	1
3	15105	1
3	15204	1
3	15235	1
3	15544	1
3	15619	1
3	15685	1
3	15833	1
3	15842	1
3	15878	1
3	15885	1
3	15996	1
3	16020	1
3	16470	1
3	16514	1
3	16515	1
3	16686	1
3	16711	1
3	16981	1
3	17155	1
3	17163	1
3	17246	1
3	17248	1
3	17326	1
3	17397	1
3	17514	1
3	17515	1
3	17628	1
3	17792	1
3	17853	1
3	17854	1
3	17866	1
3	18035	1
3	18114	1
3	18281	1
3	18344	1
3	18439	1
3	18474	1
3	18556	1
3	18560	1
3	18622	1
3	18854	1
3	18946	1
3	18965	1
3	18974	1
3	19016	1
3	19113	1
3	19142	1
3	19189	1
3	19259	1
3	19281	1
3	19302	1
3	19399	1
3	19430	1
3	19434	1
3	19443	1
3	19470	1
3	19624	1
3	19736	1
3	19756	1
3	19772	1
3	20040	1
3	20184	1
3	20216	1
3	20239	1
3	20257	1
3	20367	1
3	20375	1
3	20414	1
4	0	1
4	91	1
4	865	1
4	9872	1
4	9878	1
5	0	1
5	1736	1
5	6052	1
5	8568	1
5	10202	1
5	10511	1
5	10653	1
5	12124	1
5	12574	1
5	13386	1
5	14414	1
5	15026	1
6	0	1
6	2037	1
6	3548	1
6	5612	1
6	6692	1
6	8948	1
6	11135	1
6	12154	1
6	12169	1
